full_equity,full_drawdown,fng_equity,fng_drawdown
1.25645088,-0.04510905,1.36801122,-0.03667662
1.25475624,-0.04639696,1.36616611,-0.03797590
1.25649653,-0.04507436,1.36806092,-0.03664162
1.25809922,-0.04385633,1.36494786,-0.03883377
1.25863462,-0.04344943,1.36416378,-0.03938590
1.26042645,-0.04208766,1.36085755,-0.04171407
1.25916483,-0.04304647,1.36221969,-0.04075489
1.25840204,-0.04362619,1.36304492,-0.04017378
1.26001331,-0.04240164,1.36129965,-0.04140276
1.25156897,-0.04881926,1.37042280,-0.03497844
1.25702390,-0.04467356,1.36444984,-0.03918446
1.26652707,-0.03745124,1.37340070,-0.03288146
1.25428589,-0.04675442,1.36012658,-0.04222881
1.24417133,-0.05444139,1.34915852,-0.04995228
1.25771712,-0.04414672,1.33312054,-0.06124587
1.25513138,-0.04611186,1.33586130,-0.05931589
1.23737281,-0.05960821,1.31829636,-0.07168473
1.22965981,-0.06547002,1.32519549,-0.06682651
1.23144577,-0.06411270,1.32327077,-0.06818186
1.23831615,-0.05889128,1.33197672,-0.06205132
1.25054919,-0.04959428,1.34513501,-0.05278554
1.24799679,-0.05153408,1.34238956,-0.05471883
1.24287100,-0.05542963,1.34656066,-0.05178163
1.24861376,-0.05106519,1.35412908,-0.04645211
1.26139443,-0.04135200,1.33891425,-0.05716606
1.25732433,-0.04444524,1.33593294,-0.05926544
1.25407016,-0.04691838,1.33805463,-0.05777139
1.25376413,-0.04715096,1.33838115,-0.05754146
1.25560276,-0.04575362,1.33641843,-0.05892356
1.25176579,-0.04866968,1.34050236,-0.05604775
1.25458405,-0.04652782,1.33748432,-0.05817299
1.25535416,-0.04594255,1.33666333,-0.05875111
1.25340727,-0.04742217,1.33873631,-0.05729136
1.24821156,-0.05137086,1.34428574,-0.05338358
1.24977662,-0.05018143,1.34260022,-0.05457049
1.24218083,-0.05595416,1.33578288,-0.05937111
1.27198758,-0.03330130,1.30239431,-0.08288260
1.27308625,-0.03246632,1.30126938,-0.08367475
1.28524973,-0.02322220,1.31500339,-0.07400356
1.27621363,-0.03008955,1.30575811,-0.08051389
1.28677326,-0.02206433,1.31656219,-0.07290589
1.29694116,-0.01433682,1.32696549,-0.06558012
1.29701992,-0.01427696,1.32555794,-0.06657128
1.29367733,-0.01681730,1.32346737,-0.06804342
1.29886833,-0.01287219,1.32877790,-0.06430386
1.30276637,-0.00990971,1.33276571,-0.06149573
1.30389088,-0.00905510,1.33391611,-0.06068565
1.30044419,-0.01167454,1.33039006,-0.06316861
1.30333962,-0.00947405,1.33335215,-0.06108277
1.30238114,-0.01020248,1.33237160,-0.06177325
1.30212482,-0.01039729,1.33210938,-0.06195790
1.30777034,-0.00610674,1.33788491,-0.05789091
1.30234171,-0.01023245,1.34210066,-0.05492226
1.30601708,-0.00743920,1.34723034,-0.05131006
1.30462124,-0.00850003,1.34579045,-0.05232399
1.30037098,-0.01173018,1.34140607,-0.05541138
1.29957772,-0.01233305,1.34058778,-0.05598760
1.30543498,-0.00788159,1.33320510,-0.06118632
1.30660833,-0.00698986,1.33200679,-0.06203015
1.30667927,-0.00693595,1.33193447,-0.06208107
1.29892691,-0.01282766,1.33983666,-0.05651652
1.29764224,-0.01380401,1.34116180,-0.05558339
1.30081144,-0.01139544,1.33788630,-0.05788992
1.28636562,-0.02237413,1.32436664,-0.06741017
1.28773759,-0.02133144,1.32577914,-0.06641552
1.29239110,-0.01779482,1.33057012,-0.06304182
1.29470217,-0.01603843,1.33294946,-0.06136634
