bench_equity,bench_drawdown,patchtst_equity,patchtst_drawdown
0.9657771,-0.06318033,1.1056163172831648,-0.023902945656166352
0.9656908,-0.06326407,1.1057151075773468,-0.023815728315356943
0.9675407,-0.061469615,1.1036010241384198,-0.025682153932558904
0.96719134,-0.061808527,1.1039996532575203,-0.025330222884828224
0.9710816,-0.058034897,1.1073323729869924,-0.022387920152823426
0.9681487,-0.060879827,1.1039878178672042,-0.025340671798654735
0.95584786,-0.07281184,1.1170774849943732,-0.013784415504819125
0.95467836,-0.0739463,1.1184458282233793,-0.01257636911993365
0.9570659,-0.07163036,1.115655705863814,-0.015039637953667029
0.95752597,-0.0711841,1.1151196880490744,-0.015512863069708005
0.9604696,-0.06832868,1.11170213378073,-0.018530062257386737
0.92463386,-0.10308999,1.0691541886225089,-0.056093657591595236
0.9244154,-0.10330188,1.068901564103488,-0.0563166879910354
0.9438701,-0.084430456,1.0913970375862638,-0.0364564841758781
0.9456489,-0.08270502,1.09345381413053,-0.03464065214181844
0.9529118,-0.07565993,1.1018519309362884,-0.027226346701501147
0.9469098,-0.08148193,1.0949117289167407,-0.033353527208820566
0.94814086,-0.080287814,1.0963352686275947,-0.032096750425785636
0.9644129,-0.06450361,1.115150661201129,-0.015485518319081848
0.984724,-0.044801533,1.1386364180055384,0.0
0.98085064,-0.04855877,1.1341576027519564,-0.003933490254445893
0.9809828,-0.048430562,1.1343104530093022,-0.0037992505138854105
0.9831915,-0.046288073,1.136864371246907,-0.0015562884961428658
0.9838902,-0.04561037,1.1376721859730006,-0.0008468304871425136
0.9876151,-0.041997135,1.1322483531383998,-0.005610276262134728
0.9917267,-0.03800881,1.1275541592429665,-0.009732921402587635
0.9931198,-0.036657512,1.1280094100578792,-0.009333100346705647
0.99656016,-0.033320248,1.1319169654319607,-0.005901315351697245
1.0021507,-0.027897418,1.1382668493509907,-0.00032457125795704034
1.0005611,-0.02943927,1.1364615163527867,-0.0019100931766800056
1.0074201,-0.022785962,1.144251992771866,0.0
1.0034834,-0.026604593,1.1397806023682204,-0.003907697283370148
1.0082812,-0.021950662,1.1452300492971912,0.0
1.0079092,-0.022311509,1.1448074386937444,-0.0003690180882925942
1.0033416,-0.02674222,1.1396195218194236,-0.004899039700548058
1.0032312,-0.02684927,1.1394941190208956,-0.005008539794965738
1.005282,-0.024859905,1.1418235743074823,-0.002974489703443828
0.9998045,-0.030173182,1.1356020668024385,-0.008407029225840912
1.0047659,-0.025360584,1.1412372288114458,-0.003486478972670737
0.99908143,-0.03087461,1.1347807370505076,-0.009124203694354738
1.0001462,-0.02984178,1.135990061787506,-0.00806823704578441
1.0031812,-0.026897728,1.13943731151336,-0.005058143372491886
0.9984392,-0.031497598,1.1340513620903752,-0.009761084433364431
1.0007443,-0.02926153,1.1303083505791613,-0.01302943345503993
1.0031053,-0.0269714,1.1318424949781185,-0.011689838497765948
1.0048336,-0.0252949,1.1337925738906547,-0.00998705492713492
1.0037901,-0.026307046,1.1326152691880886,-0.011015062097649353
1.0044996,-0.02561891,1.1334157857397036,-0.01031606144524222
1.0024098,-0.027646005,1.1310578010256251,-0.012375023062190293
1.003074,-0.027001679,1.1291790910634663,-0.014015488192590797
1.00227,-0.027781665,1.130084976602021,-0.013224480709761788
1.0040592,-0.026046097,1.13097094482206,-0.012450864770691128
1.0141083,-0.016298294,1.1422902177326388,-0.0025670227273171253
1.0073177,-0.022885323,1.1488414296323766,0.0
1.0041026,-0.026004016,1.144030048612534,-0.004188028822552203
1.0129848,-0.017388165,1.1328652708295803,-0.013906321961167922
1.0143573,-0.016056716,1.1313324577592216,-0.015240547060317744
1.0060403,-0.024124324,1.140685334987447,-0.007099408529808504
1.0064154,-0.023760557,1.13997005784311,-0.007722015902669299
1.005726,-0.024429262,1.1391892114979583,-0.008401697471431713
1.0072732,-0.022928476,1.140941827180128,-0.006876146915050341
1.0016689,-0.028364658,1.1345939295052534,-0.012401624592945137
1.002098,-0.027948499,1.1350797612433763,-0.011978736171974536
1.0019728,-0.028069913,1.1349379720716237,-0.012102155442985651
0.9966142,-0.033267856,1.1288683583252415,-0.017385403060826587
0.99053186,-0.03916782,1.1219788237490085,-0.023382344325764803
0.9853279,-0.04421574,1.1160843546961088,-0.028513138620662293
0.98796993,-0.041652918,1.1190769637094364,-0.02590824560745919
0.99277097,-0.03699583,1.1245151446583634,-0.021174623709207085
1.0010474,-0.028967619,1.133889748853555,-0.01301457311093479
1.0047867,-0.025340378,1.1381253164081058,-0.00932775659709617
1.0165448,-0.013934851,1.151443861554654,0.0
1.0253175,-0.005425155,1.1613807506656963,0.0
1.0175906,-0.01292038,1.1526283669113435,-0.007536188066950444
1.0155209,-0.014927983,1.150284027679306,-0.00955476744386341
1.0216142,-0.0090174675,1.1571859516403225,-0.0036119067953980233
1.0245981,-0.0061230063,1.1605659131315826,-0.0007016110208875048
1.0201918,-0.010397196,1.1644136866967916,0.0
