CNN-Transformer_equity,CNN-Transformer_drawdown,XGBoost_equity,XGBoost_drawdown,Transformer_equity,Transformer_drawdown,PatchTST_equity,PatchTST_drawdown,LSTM-Transformer_equity,LSTM-Transformer_drawdown,LSTM_equity,LSTM_drawdown,TimeMixer_equity,TimeMixer_drawdown,ModernTCN_equity,ModernTCN_drawdown,TCN_equity,TCN_drawdown,DLinear_equity,DLinear_drawdown
1.07920483,-0.02401897,1.08117636,-0.00557889,1.03749474,-0.00720704,1.04720726,-0.00744828,1.07456129,-0.01510940,0.98740094,-0.04107255,1.06651935,-0.01325423,0.92949429,-0.08778289,1.02318092,-0.00449138,0.95577167,-0.06214290
1.07601122,-0.02690711,1.07797693,-0.00852160,1.03442457,-0.01014493,1.04410834,-0.01038545,1.07138143,-0.01802390,0.99032288,-0.03823487,1.06336328,-0.01617422,0.92674371,-0.09048234,1.02015311,-0.00743731,0.95860001,-0.05936757
1.07905702,-0.02415264,1.08102829,-0.00571508,1.03735265,-0.00734301,1.04706384,-0.00758421,1.07441412,-0.01524429,0.98751963,-0.04095728,1.06637328,-0.01338937,0.92936699,-0.08790783,1.02304079,-0.00462773,0.96035486,-0.05764562
1.10641273,0.00000000,1.10843397,0.00000000,1.06365108,0.00000000,1.07360846,0.00000000,1.10165212,0.00000000,1.01156721,-0.01760316,1.09340743,0.00000000,0.95292783,-0.06478493,1.04897640,0.00000000,0.93504808,-0.08247806
1.11083015,0.00000000,1.11285946,0.00000000,1.06789778,0.00000000,1.07789491,0.00000000,1.10605054,0.00000000,1.01560595,-0.01368087,1.09777293,0.00000000,0.95673245,-0.06105102,1.04373932,-0.00499256,0.93784627,-0.07973232
1.10010717,-0.00965312,1.10211690,-0.00965312,1.05758923,-0.00965312,1.06748987,-0.00965312,1.09537370,-0.00965312,1.02439411,-0.00514614,1.08717600,-0.00965312,0.94749700,-0.07011481,1.05381466,0.00000000,0.92879313,-0.08861577
1.09307631,-0.01598250,1.09507318,-0.01598250,1.05083010,-0.01598250,1.06066746,-0.01598250,1.08837309,-0.01598250,1.03094109,0.00000000,1.08022778,-0.01598250,0.94144148,-0.07605778,1.04602583,-0.00739107,0.92285714,-0.09444049
1.08486758,-0.02337222,1.10220184,-0.00957679,1.05767074,-0.00957679,1.05270211,-0.02337222,1.08019968,-0.02337222,1.03868320,0.00000000,1.07211553,-0.02337222,0.93437149,-0.08299635,1.03817044,-0.01484532,0.91592672,-0.10124102
1.09586875,-0.01346867,1.11448099,0.00000000,1.06945379,0.00000000,1.06337711,-0.01346867,1.06816564,-0.03425241,1.05025472,0.00000000,1.08298739,-0.01346867,0.94384654,-0.07369741,1.02660464,-0.02582050,0.92521473,-0.09212710
1.08673283,-0.02169307,1.10518991,-0.00833669,1.06053809,-0.00833669,1.05451206,-0.02169307,1.05819251,-0.04326930,1.04149907,-0.00833669,1.07395886,-0.02169307,0.93597799,-0.08141971,1.03516312,-0.01769907,0.93200275,-0.08546631
